id	institutionCode	datasetName	eventID	eventDate	locationID	countryCode	locality	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
Faial-Pico channel_2004-06-28T17:34:48	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial-Pico channel_2004-06-28T17:34:48	2004-06-28T17:34:48	http://marineregions.org/mrgid/5191	PT	Faial-Pico channel	38.50	-28.60	2000m
Faial island_2004-06-29T12:48:18	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-06-29T12:48:18	2004-06-29T12:48:18	http://marineregions.org/mrgid/2458	PT	Faial island	38.60	-28.85	2000m
Faial island_2004-06-29T14:12:17	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-06-29T14:12:17	2004-06-29T14:12:17	http://marineregions.org/mrgid/2458	PT	Faial island	38.60	-28.80	2500m
Faial island_2004-06-29T16:49:50	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-06-29T16:49:50	2004-06-29T16:49:50	http://marineregions.org/mrgid/2458	PT	Faial island	38.55	-28.80	2500m
Faial island_2004-06-29T18:17:16	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-06-29T18:17:16	2004-06-29T18:17:16	http://marineregions.org/mrgid/2458	PT	Faial island	38.50	-28.75	3000m
Pico island_2004-06-30T12:05:25	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Pico island_2004-06-30T12:05:25	2004-06-30T12:05:25	http://marineregions.org/mrgid/2460	PT	Pico island	38.55	-28.50	3000m
Pico island_2004-06-30T14:36:21	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Pico island_2004-06-30T14:36:21	2004-06-30T14:36:21	http://marineregions.org/mrgid/2460	PT	Pico island	38.50	-28.55	3000m
Faial island_2004-07-01T11:35:45	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-07-01T11:35:45	2004-07-01T11:35:45	http://marineregions.org/mrgid/2458	PT	Faial island	38.50	-28.75	2500m
Faial island_2004-07-01T12:31:25	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-07-01T12:31:25	2004-07-01T12:31:25	http://marineregions.org/mrgid/2458	PT	Faial island	38.50	-28.75	2500m
Faial island_2004-07-01T13:36:06	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-07-01T13:36:06	2004-07-01T13:36:06	http://marineregions.org/mrgid/2458	PT	Faial island	38.50	-28.70	2500m
Faial island_2004-07-01T14:56:15	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2004-07-01T14:56:15	2004-07-01T14:56:15	http://marineregions.org/mrgid/2458	PT	Faial island	38.50	-28.65	2000m
Pico island_2004-07-01T16:49:43	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Pico island_2004-07-01T16:49:43	2004-07-01T16:49:43	http://marineregions.org/mrgid/2460	PT	Pico island	38.50	-28.55	2000m
Faial-Pico channel_2004-08-10T09:44:27	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial-Pico channel_2004-08-10T09:44:27	2004-08-10T09:44:27	http://marineregions.org/mrgid/5191	PT	Faial-Pico channel	38.55	-28.55	2000m
Formigas bank_2004-08-22T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2004-08-22T00:00:00	2004-08-22T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	2000m
Formigas bank_2004-08-23T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2004-08-23T00:00:00	2004-08-23T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	2000m
Dom Joao de Castro bank_2004-09-01T13:58:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Dom Joao de Castro bank_2004-09-01T13:58:00	2004-09-01T13:58:00	http://marineregions.org/mrgid/5005	PT	Dom Jo„o de Castro bank	38.20	-26.60	3000m
Dom Joao de Castro bank_2004-09-02T13:25:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Dom Joao de Castro bank_2004-09-02T13:25:00	2004-09-02T13:25:00	http://marineregions.org/mrgid/5005	PT	Dom Jo„o de Castro bank	38.20	-26.60	3000m
Dom Joao de Castro bank_2004-09-02T16:27:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Dom Joao de Castro bank_2004-09-02T16:27:00	2004-09-02T16:27:00	http://marineregions.org/mrgid/5005	PT	Dom Jo„o de Castro bank	38.20	-26.60	3500m
Terceira island_2005-06-08T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Terceira island_2005-06-08T00:00:00	2005-06-08T00:00:00	http://marineregions.org/mrgid/2457	PT	Terceira island	38.80	-27.40	2000m
Santa Maria island_2005-08-29T14:39:21	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2005-08-29T14:39:21	2005-08-29T14:39:21	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.10	2000m
Formigas bank_2005-08-30T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2005-08-30T00:00:00	2005-08-30T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	2000m
Formigas bank_2005-08-31T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2005-08-31T00:00:00	2005-08-31T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	2000m
Faial island_2005-09-13T17:04:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2005-09-13T17:04:00	2005-09-13T17:04:00	http://marineregions.org/mrgid/2458	PT	Faial island	38.65	-28.70	2000m
Faial island_2005-09-14T15:18:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2005-09-14T15:18:00	2005-09-14T15:18:00	http://marineregions.org/mrgid/2458	PT	Faial island	38.55	-28.60	2000m
Faial island_2005-09-15T15:12:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2005-09-15T15:12:00	2005-09-15T15:12:00	http://marineregions.org/mrgid/2458	PT	Faial island	38.55	-28.55	2500m
Faial island_2005-09-19T13:17:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Faial island_2005-09-19T13:17:00	2005-09-19T13:17:00	http://marineregions.org/mrgid/2458	PT	Faial island	38.60	-28.80	3000m
Formigas bank_2005-09-01T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2005-09-01T00:00:00	2005-09-01T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.30	-24.75	3000m
Formigas bank_2007-09-01T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2007-09-01T00:00:00	2007-09-01T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	2500m
Formigas bank_2008-08-28T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2008-08-28T00:00:00	2008-08-28T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	2000m
Formigas bank_2008-09-01T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2008-09-01T00:00:00	2008-09-01T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.80	3000m
Formigas bank_2008-09-02T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2008-09-02T00:00:00	2008-09-02T00:00:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	2500m
Terceira island_2008-09-04T10:16:48	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Terceira island_2008-09-04T10:16:48	2008-09-04T10:16:48	http://marineregions.org/mrgid/2457	PT	Terceira island	38.80	-27.40	2000m
Princess Alice bank_2014-06-24T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Princess Alice bank_2014-06-24T00:00:00	2014-06-24T00:00:00	http://marineregions.org/mrgid/4188	PT	Princess Alice bank	38.00	-29.30	2000m
Princess Alice bank_2014-06-24T10:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Princess Alice bank_2014-06-24T10:00:00	2014-06-24T10:00:00	http://marineregions.org/mrgid/4188	PT	Princess Alice bank	38.00	-29.30	2000m
Pico island_2014-06-26T10:36:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Pico island_2014-06-26T10:36:00	2014-06-26T10:36:00	http://marineregions.org/mrgid/2460	PT	Pico island	38.40	-28.10	2000m
Terceira island_2014-06-27T13:16:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Terceira island_2014-06-27T13:16:00	2014-06-27T13:16:00	http://marineregions.org/mrgid/2457	PT	Terceira island	38.65	-27.15	3000m
Dom Joao de Castro bank_2014-06-28T12:15:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Dom Joao de Castro bank_2014-06-28T12:15:00	2014-06-28T12:15:00	http://marineregions.org/mrgid/5005	PT	Dom Jo„o de Castro bank	38.20	-26.60	3000m
Formigas bank_2014-06-29T15:56:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2014-06-29T15:56:00	2014-06-29T15:56:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.80	2500m
Formigas bank_2014-06-30T10:20:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2014-06-30T10:20:00	2014-06-30T10:20:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.75	3000m
Formigas bank_2014-06-30T12:25:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Formigas bank_2014-06-30T12:25:00	2014-06-30T12:25:00	http://marineregions.org/mrgid/5345	PT	Formigas bank	37.25	-24.80	3500m
Santa Maria island_2016-06-11T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2016-06-11T00:00:00	2016-06-11T00:00:00	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Corvo island_2016-08-23T12:16:18	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T12:16:18	2016-08-23T12:16:18	http://marineregions.org/mrgid/2462	PT	Corvo island	39.75	-31.15	2500m
Corvo island_2016-08-23T12:17:08	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T12:17:08	2016-08-23T12:17:08	http://marineregions.org/mrgid/2462	PT	Corvo island	39.75	-31.15	2500m
Corvo island_2016-08-23T12:17:22	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T12:17:22	2016-08-23T12:17:22	http://marineregions.org/mrgid/2462	PT	Corvo island	39.75	-31.15	2500m
Corvo island_2016-08-23T12:24:51	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T12:24:51	2016-08-23T12:24:51	http://marineregions.org/mrgid/2462	PT	Corvo island	39.75	-31.15	3000m
Corvo island_2016-08-23T12:24:53	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T12:24:53	2016-08-23T12:24:53	http://marineregions.org/mrgid/2462	PT	Corvo island	39.75	-31.15	3000m
Corvo island_2016-08-23T12:25:26	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T12:25:26	2016-08-23T12:25:26	http://marineregions.org/mrgid/2462	PT	Corvo island	39.75	-31.15	3000m
Corvo island_2016-08-23T17:40:35	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T17:40:35	2016-08-23T17:40:35	http://marineregions.org/mrgid/2462	PT	Corvo island	39.65	-31.10	2500m
Corvo island_2016-08-23T17:40:41	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Corvo island_2016-08-23T17:40:41	2016-08-23T17:40:41	http://marineregions.org/mrgid/2462	PT	Corvo island	39.65	-31.10	2500m
Santa Maria island_2016-09-12T17:18:05	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2016-09-12T17:18:05	2016-09-12T17:18:05	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.10	2500m
Santa Maria island_2016-09-12T17:19:46	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2016-09-12T17:19:46	2016-09-12T17:19:46	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.10	2500m
Santa Maria island_2016-09-12T17:21:08	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2016-09-12T17:21:08	2016-09-12T17:21:08	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.10	2500m
Santa Maria island_2016-09-12T17:27:25	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2016-09-12T17:27:25	2016-09-12T17:27:25	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.10	2500m
Santa Maria island_2016-09-12T17:29:48	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2016-09-12T17:29:48	2016-09-12T17:29:48	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.10	2500m
Graciosa island_2017-06-17T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-17T00:00:00	2017-06-17T00:00:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-21T13:32:09	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-21T13:32:09	2017-06-21T13:32:09	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-21T13:32:19	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-21T13:32:19	2017-06-21T13:32:19	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-21T13:33:05	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-21T13:33:05	2017-06-21T13:33:05	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-21T15:25:36	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-21T15:25:36	2017-06-21T15:25:36	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-28.10	3000m
Graciosa island_2017-06-21T18:17:55	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-21T18:17:55	2017-06-21T18:17:55	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-28.05	2500m
Graciosa island_2017-06-21T18:18:03	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-21T18:18:03	2017-06-21T18:18:03	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-28.05	2500m
Graciosa island_2017-06-22T09:50:29	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T09:50:29	2017-06-22T09:50:29	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2500m
Graciosa island_2017-06-22T09:50:52	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T09:50:52	2017-06-22T09:50:52	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2500m
Graciosa island_2017-06-22T10:03:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T10:03:00	2017-06-22T10:03:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-22T10:11:10	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T10:11:10	2017-06-22T10:11:10	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-22T10:11:30	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T10:11:30	2017-06-22T10:11:30	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-22T11:36:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T11:36:00	2017-06-22T11:36:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	3500m
Graciosa island_2017-06-22T13:02:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T13:02:00	2017-06-22T13:02:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-27.95	2000m
Graciosa island_2017-06-22T13:02:34	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T13:02:34	2017-06-22T13:02:34	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-27.95	2000m
Graciosa island_2017-06-22T13:02:37	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T13:02:37	2017-06-22T13:02:37	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-27.95	2000m
Graciosa island_2017-06-22T13:14:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T13:14:00	2017-06-22T13:14:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-27.95	2000m
Graciosa island_2017-06-22T13:15:04	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T13:15:04	2017-06-22T13:15:04	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.05	-27.95	2000m
Graciosa island_2017-06-22T17:11:57	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T17:11:57	2017-06-22T17:11:57	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.00	-27.95	2000m
Graciosa island_2017-06-22T17:12:30	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-22T17:12:30	2017-06-22T17:12:30	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.00	-27.95	2000m
Graciosa island_2017-06-23T12:13:54	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-23T12:13:54	2017-06-23T12:13:54	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-23T12:14:06	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-23T12:14:06	2017-06-23T12:14:06	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-23T12:30:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-23T12:30:00	2017-06-23T12:30:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-27T16:51:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-27T16:51:00	2017-06-27T16:51:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-28T18:26:48	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-28T18:26:48	2017-06-28T18:26:48	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-29T00:00:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T00:00:00	2017-06-29T00:00:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2500m
Graciosa island_2017-06-29T17:12:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T17:12:00	2017-06-29T17:12:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-29T17:19:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T17:19:00	2017-06-29T17:19:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-29T17:29:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T17:29:00	2017-06-29T17:29:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2500m
Graciosa island_2017-06-29T17:40:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T17:40:00	2017-06-29T17:40:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2500m
Graciosa island_2017-06-29T17:49:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T17:49:00	2017-06-29T17:49:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2500m
Graciosa island_2017-06-29T18:04:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T18:04:00	2017-06-29T18:04:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2500m
Graciosa island_2017-06-29T18:15:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T18:15:00	2017-06-29T18:15:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-29T18:21:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T18:21:00	2017-06-29T18:21:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-29T18:32:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T18:32:00	2017-06-29T18:32:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.05	2000m
Graciosa island_2017-06-29T18:44:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T18:44:00	2017-06-29T18:44:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-29T18:50:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T18:50:00	2017-06-29T18:50:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-29T18:56:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T18:56:00	2017-06-29T18:56:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-29T19:03:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T19:03:00	2017-06-29T19:03:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
Graciosa island_2017-06-29T19:11:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Graciosa island_2017-06-29T19:11:00	2017-06-29T19:11:00	http://marineregions.org/mrgid/2463	PT	Graciosa island	39.10	-28.00	2000m
